province_code,province,area_type,year,period,value,date,metric
7500,Gorontalo,F Konstruksi,2023,Triwulan III,1482.28,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2023,Triwulan IV,1508.21,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2023,Tahunan,5717.04,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Triwulan I,1426.75,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Triwulan II,1492.46,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Triwulan III,1584.77,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Triwulan IV,1716.19,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,Tahunan,6220.17,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Triwulan I,1722.15,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Triwulan II,1720.43,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Triwulan III,1755.64,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Triwulan IV,1876.45,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,Tahunan,7074.66,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2022,Triwulan I,605.4,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2022,Triwulan II,655.38,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2022,Triwulan III,693.27,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2022,Triwulan IV,714.59,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2022,Tahunan,2668.65,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2023,Triwulan I,702.56,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2023,Triwulan II,759.59,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2023,Triwulan III,779.24,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2023,Triwulan IV,798.72,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,H Transportasi dan Pergudangan,2023,Tahunan,3040.11,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2022,Triwulan I,253.36,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2022,Triwulan II,262.42,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2022,Triwulan III,273.7,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2022,Triwulan IV,286.69,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2022,Tahunan,1076.17,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2023,Triwulan I,275.29,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2023,Triwulan II,287.88,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2023,Triwulan III,289.5,2023-09-01,pdrb_adhb_quarterly
